@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
12,866,0,70,1
70,708,6,121,1
48,211,0,72,1
55,339,11,100,1
102,264,0,39,1
139,561,1,43,1
81,558,3,103,1
71,708,7,112,1
8,372,39,68,0
101,1386,3,243,0
4,982,3,151,1
22,411,6,40,1
95,354,5,70,1
13,1090,1,196,1
129,1172,3,84,1
70,279,2,80,1
101,209,0,63,1
94,366,2,71,1
229,739,3,123,1
22,1071,5,208,1
26,645,3,106,0
723,620,0,81,1
7,579,2,81,1
194,703,10,66,1
71,686,6,78,1
18,721,26,133,0
19,900,0,85,1
43,872,1,82,1
26,221,50,130,1
24,1178,0,101,1
192,204,4,120,0
64,223,5,47,1
29,344,6,42,1
64,342,12,76,1
19,371,22,116,1
36,544,2,67,1
14,565,2,65,1
57,335,0,114,1
88,207,0,101,0
41,1177,9,224,0
92,355,7,123,1
48,423,2,39,1
27,1131,4,193,1
69,607,2,76,0
47,194,2,60,0
13,1056,3,104,0
94,639,6,135,1
15,683,6,85,1
74,324,16,64,0
35,1147,6,177,1
25,154,3,36,1
53,145,0,62,1
43,1154,26,203,0
186,252,0,21,1
49,569,5,77,1
19,414,1,43,1
133,276,4,25,1
15,1152,0,220,0
22,247,2,40,1
26,151,0,62,1
74,306,4,75,1
83,1424,13,256,1
88,933,0,182,0
24,1127,5,107,0
21,1192,0,200,1
7,186,33,59,1
53,350,0,23,1
41,1345,20,243,1
23,1184,6,203,0
29,236,0,30,0
78,177,27,62,1
100,247,11,92,1
62,929,1,80,0
89,334,0,74,1
23,129,9,32,1
75,759,7,78,1
72,709,9,116,1
7,230,50,114,0
144,899,4,160,1
37,344,31,59,1
7,1161,0,206,1
12,933,3,132,1
7,280,69,80,1
13,254,30,92,0
76,922,1,81,1
9,880,2,170,0
63,707,0,85,0
8,214,48,126,0
53,110,2,33,1
32,1175,0,148,1
31,112,2,37,1
90,328,0,64,1
22,361,0,20,1
65,315,0,73,1
33,1411,28,252,1
34,1034,0,104,1
6,212,35,107,1
59,269,0,31,1
71,873,5,82,1
91,909,0,78,1
1649,439,0,85,1
39,689,5,129,1
103,1130,9,227,1
73,0,1,17,1
34,112,0,30,1
9,727,6,153,0
95,326,12,73,1
6,310,18,104,0
18,592,0,73,0
