This file contains summary statistics (precision, recall, pf, f1, ROC) for the generated models.
Each section contains the ten (prec pd pf F1 ROC) stats calculated for each fold in 10-fold cross validation, with the dataset being cross-validated listed at the top of the section.

camelbefore14
prec  pd    pf    F1    ROC
0 0 0 0 0.483
0.518 0.025 0.005 0.048 0.519
0.518 0.021 0.005 0.04 0.513
0.518 0.018 0.004 0.034 0.507
0.55 0.038 0.007 0.071 0.523
0.55 0.034 0.007 0.064 0.518
0.55 0.03 0.006 0.057 0.515

hivebefore14
prec  pd    pf    F1    ROC
0.333 0.222 0.007 0.267 0.608
0.462 0.3 0.006 0.364 0.646
0.524 0.367 0.006 0.431 0.658
0.538 0.341 0.005 0.418 0.64
0.485 0.327 0.006 0.39 0.631
0.538 0.368 0.005 0.438 0.634
0.574 0.38 0.005 0.458 0.643
0.571 0.4 0.005 0.471 0.648
0.574 0.393 0.005 0.467 0.647
0.559 0.388 0.005 0.458 0.647

hivebefore1
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.349
0 0 0 0 0.374
0 0 0 0 0.347
0 0 0 0 0.366
0 0 0 0 0.305
0 0 0 0 0.328
0 0 0 0 0.334
0 0 0 0 0.327
0 0 0 0 0.294

hivebefore30
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.473
0 0 0 0 0.475
0 0 0 0 0.446
0 0 0 0 0.451
0 0 0 0 0.454
0 0 0 0 0.455
0 0 0 0 0.457
0 0 0 0 0.457
0 0 0 0 0.46

hivebefore7
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.472
0 0 0 0 0.474
0 0 0 0 0.478
0 0 0 0 0.46
0 0 0 0 0.465
0 0 0 0 0.423
0 0 0 0 0.419
0 0 0 0 0.403
0 0 0 0 0.404

hivebefore90
prec  pd    pf    F1    ROC
0.6 0.504 0.09 0.548 0.828
0.632 0.482 0.081 0.547 0.834
0.611 0.481 0.088 0.538 0.821
0.617 0.501 0.092 0.553 0.819
0.628 0.5 0.089 0.557 0.823
0.648 0.543 0.092 0.591 0.828
0.638 0.554 0.097 0.593 0.823
0.626 0.562 0.103 0.592 0.814
0.621 0.577 0.107 0.598 0.816
0.627 0.572 0.104 0.598 0.816

kafkabefore14
prec  pd    pf    F1    ROC
0.801 0.929 0.604 0.86 0.742
0.813 0.888 0.515 0.848 0.752
0.822 0.895 0.532 0.857 0.772
0.815 0.888 0.545 0.85 0.754
0.802 0.903 0.588 0.85 0.759
0.807 0.891 0.552 0.847 0.758
0.801 0.886 0.561 0.841 0.738
0.808 0.894 0.57 0.849 0.732
0.804 0.899 0.586 0.849 0.732
0.804 0.905 0.594 0.851 0.733

kafkabefore1
prec  pd    pf    F1    ROC
0.68 0.5 0.151 0.576 0.735
0.663 0.504 0.166 0.573 0.728
0.642 0.48 0.169 0.55 0.713
0.633 0.477 0.17 0.544 0.701
0.627 0.482 0.174 0.545 0.706
0.625 0.488 0.173 0.548 0.71
0.611 0.478 0.178 0.536 0.701
0.613 0.467 0.18 0.53 0.688
0.618 0.469 0.178 0.533 0.691
0.613 0.471 0.184 0.533 0.689

kafkabefore30
prec  pd    pf    F1    ROC
0.857 0.943 0.647 0.898 0.734
0.818 0.967 0.744 0.886 0.763
0.825 0.969 0.794 0.891 0.749
0.822 0.973 0.806 0.891 0.739
0.833 0.973 0.776 0.897 0.749
0.831 0.971 0.774 0.895 0.75
0.827 0.967 0.77 0.892 0.744
0.837 0.966 0.772 0.897 0.744
0.841 0.965 0.751 0.899 0.751
0.844 0.968 0.751 0.902 0.756

kafkabefore7
prec  pd    pf    F1    ROC
0.81 0.864 0.429 0.836 0.766
0.832 0.806 0.306 0.819 0.775
0.806 0.822 0.366 0.814 0.749
0.784 0.834 0.43 0.808 0.736
0.769 0.846 0.46 0.805 0.727
0.765 0.833 0.445 0.798 0.731
0.758 0.825 0.451 0.79 0.717
0.762 0.816 0.459 0.788 0.709
0.757 0.825 0.471 0.789 0.707
0.759 0.827 0.471 0.792 0.71

kafkabefore90
prec  pd    pf    F1    ROC
0.885 0.98 0.76 0.93 0.753
0.897 0.977 0.756 0.935 0.75
0.913 0.981 0.729 0.946 0.759
0.912 0.982 0.725 0.946 0.779
0.918 0.977 0.691 0.947 0.79
0.916 0.974 0.689 0.944 0.791
0.916 0.976 0.691 0.945 0.797
0.922 0.979 0.687 0.949 0.801
0.921 0.979 0.68 0.949 0.808
0.923 0.979 0.677 0.95 0.807

nodebefore14
prec  pd    pf    F1    ROC
0.76 1 1 0.864 0.5
0.768 1 1 0.869 0.489
0.763 1 1 0.865 0.485
0.767 1 1 0.868 0.482
0.763 1 1 0.866 0.479
0.76 1 1 0.864 0.479
0.762 1 1 0.865 0.478
0.761 1 1 0.865 0.479
0.764 1 1 0.866 0.477
0.766 1 1 0.867 0.477

nodebefore1
prec  pd    pf    F1    ROC
0.584 0.328 0.151 0.42 0.658
0.568 0.342 0.177 0.427 0.636
0.56 0.33 0.169 0.415 0.634
0.557 0.326 0.165 0.411 0.63
0.565 0.31 0.154 0.4 0.631
0.565 0.293 0.144 0.386 0.627
0.554 0.293 0.152 0.383 0.624
0.552 0.299 0.155 0.388 0.627
0.547 0.298 0.159 0.386 0.623
0.546 0.304 0.163 0.391 0.625

nodebefore30
prec  pd    pf    F1    ROC
0.857 1 1 0.923 0.5
0.853 1 1 0.92 0.492
0.846 1 1 0.917 0.479
0.845 1 1 0.916 0.482
0.84 1 1 0.913 0.472
0.837 1 1 0.911 0.47
0.837 1 1 0.911 0.472
0.836 1 1 0.91 0.473
0.837 1 1 0.911 0.473
0.839 1 1 0.912 0.471

nodebefore7
prec  pd    pf    F1    ROC
0.679 0.944 0.88 0.79 0.543
0.681 0.972 0.938 0.801 0.526
0.681 0.962 0.922 0.797 0.543
0.686 0.951 0.902 0.797 0.56
0.687 0.943 0.883 0.795 0.567
0.687 0.943 0.884 0.795 0.572
0.692 0.942 0.878 0.798 0.572
0.695 0.94 0.866 0.799 0.574
0.698 0.937 0.86 0.8 0.579
0.699 0.939 0.866 0.801 0.581

nodebefore90
prec  pd    pf    F1    ROC
0.95 1 1 0.974 0.5
0.941 1 1 0.97 0.46
0.933 1 1 0.966 0.442
0.932 1 1 0.965 0.449
0.929 1 1 0.963 0.452
0.928 1 1 0.963 0.457
0.928 1 1 0.963 0.46
0.926 1 1 0.961 0.455
0.928 1 1 0.962 0.451
0.928 1 1 0.963 0.451

ofbizbefore14
prec  pd    pf    F1    ROC
0.544 0.786 0.66 0.643 0.564
0.536 0.743 0.626 0.623 0.555
0.549 0.741 0.611 0.631 0.564
0.559 0.707 0.59 0.624 0.564
0.564 0.675 0.554 0.614 0.572
0.567 0.674 0.543 0.616 0.58
0.57 0.672 0.535 0.616 0.583
0.573 0.681 0.533 0.622 0.585
0.571 0.681 0.535 0.622 0.584
0.574 0.677 0.524 0.621 0.586

ofbizbefore1
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.477
0 0 0 0 0.479
0 0 0 0 0.478
0 0 0 0 0.474
0 0 0 0 0.475
0 0 0 0 0.476
0 0 0 0 0.478
0 0 0 0 0.479
0 0 0 0 0.474

ofbizbefore30
prec  pd    pf    F1    ROC
0.606 0.911 0.833 0.728 0.551
0.611 0.895 0.778 0.726 0.568
0.605 0.903 0.805 0.724 0.569
0.614 0.863 0.77 0.717 0.564
0.615 0.857 0.762 0.716 0.564
0.62 0.85 0.748 0.717 0.568
0.621 0.861 0.757 0.721 0.568
0.624 0.853 0.739 0.721 0.577
0.626 0.849 0.733 0.721 0.579
0.623 0.853 0.734 0.72 0.581

ofbizbefore7
prec  pd    pf    F1    ROC
0.57 0.5 0.274 0.533 0.652
0.532 0.471 0.293 0.499 0.608
0.528 0.454 0.302 0.488 0.604
0.541 0.392 0.262 0.455 0.596
0.547 0.407 0.266 0.467 0.601
0.549 0.406 0.261 0.467 0.602
0.546 0.399 0.258 0.461 0.602
0.547 0.402 0.26 0.463 0.603
0.541 0.412 0.272 0.468 0.601
0.539 0.417 0.275 0.47 0.603

ofbizbefore90
prec  pd    pf    F1    ROC
0.659 1 1 0.794 0.5
0.664 1 1 0.798 0.494
0.664 1 1 0.798 0.494
0.674 1 1 0.805 0.48
0.677 1 1 0.808 0.479
0.68 1 1 0.809 0.479
0.682 1 1 0.811 0.48
0.682 1 1 0.811 0.481
0.682 0.995 0.994 0.809 0.488
0.681 0.995 0.995 0.809 0.488

qpidbefore14
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.488
0 0 0 0 0.479
0 0 0 0 0.48
0 0 0 0 0.471
0 0 0 0 0.46
0 0 0 0 0.456
0 0 0 0 0.458
0 0 0 0 0.458
0 0 0 0 0.458

qpidbefore1
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.5
0 0 0 0 0.448
0 0 0 0 0.448
0 0 0 0 0.448
0 0 0 0 0.446
0 0 0 0 0.448
0 0 0 0 0.448
0 0 0 0 0.449
0 0 0 0 0.449

qpidbefore30
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.467
0 0 0 0 0.471
0 0 0 0 0.475
0 0 0 0 0.473
0 0 0 0 0.469
0 0 0 0 0.467
0 0 0 0 0.469
0 0 0 0 0.47
0 0 0 0 0.466

qpidbefore7
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.496
0 0 0 0 0.497
0 0 0 0 0.492
0 0 0 0 0.474
0 0 0 0 0.468
0 0 0 0 0.461
0 0 0 0 0.463
0 0 0 0 0.461
0 0 0 0 0.46

qpidbefore90
prec  pd    pf    F1    ROC
0.514 0.149 0.04 0.231 0.621
0.518 0.12 0.032 0.195 0.624
0.547 0.127 0.031 0.206 0.637
0.532 0.17 0.043 0.258 0.644
0.555 0.19 0.044 0.283 0.649
0.537 0.208 0.051 0.3 0.651
0.528 0.207 0.053 0.297 0.647
0.527 0.223 0.057 0.313 0.649
0.535 0.231 0.057 0.322 0.653
0.529 0.233 0.059 0.324 0.652

