@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
0,33,0,102,0,1000
0,143,0,268,0,1000
0,122,0,215,0,1000
4,507,0,839,0,180
0,603,0,865,28,365
31,121,0,209,0,1000
0,483,1,827,2,180
0,625,10,887,47,365
0,123,0,318,0,180
0,657,8,950,12,365
0,131,0,220,0,1000
0,115,0,241,0,1000
0,565,2,822,2,90
0,707,0,943,123,365
0,519,8,804,3,180
0,150,0,379,1,90
0,148,0,372,1,90
0,625,5,896,46,365
0,113,0,197,0,365
0,449,0,644,2,365
0,164,43,302,14,180
2,453,1,641,1,365
0,493,0,821,4,180
0,161,2,335,0,180
0,487,0,823,3,180
0,101,14,210,4,365
0,314,5,522,12,365
0,609,0,862,23,90
0,261,0,535,0,180
0,670,1,948,10,365
0,490,0,809,3,180
0,138,0,243,0,1000
0,134,0,209,0,1000
0,159,0,333,0,90
0,609,0,845,14,90
0,507,3,830,4,90
0,165,0,436,0,90
0,483,2,826,2,180
0,486,0,698,123,1000
0,82,0,157,0,1000
0,143,1,302,0,365
0,483,0,813,4,90
0,295,6,546,82,1000
0,134,0,206,61,1000
0,149,0,328,5,90
0,346,0,573,6,180
0,123,0,195,0,365
0,449,4,642,1,365
0,123,0,212,0,365
0,128,0,265,0,1000
0,308,5,498,16,180
0,97,88,212,7,365
0,391,0,639,6,180
0,122,0,208,0,90
0,248,0,502,0,180
0,643,0,913,13,90
0,148,2,320,0,90
0,76,0,171,0,180
0,139,0,218,0,1000
0,111,0,221,2,365
0,33,0,96,0,1000
0,580,0,823,24,180
0,502,0,847,0,180
0,549,0,815,2,90
0,774,21,1062,230,365
0,758,0,1042,1,30
0,454,1,682,1,365
0,465,0,644,1,365
0,126,7,210,43,365
0,514,0,830,0,180
0,774,2,1063,230,365
0,124,0,331,0,180
34,687,0,954,8,90
0,564,2,806,9,180
0,110,0,313,0,180
0,370,2,605,6,180
0,241,0,487,0,1000
0,126,0,222,0,1000
0,385,3,629,6,180
0,159,0,330,0,180
0,75,0,158,0,1000
0,563,2,812,9,365
0,489,0,826,4,90
0,616,0,868,13,90
0,502,0,846,0,180
0,669,1,949,10,365
0,429,0,677,5,90
0,123,0,228,0,1000
0,149,49,326,5,90
0,762,11,1020,194,365
0,627,2,884,13,365
0,126,0,302,0,180
0,465,2,644,1,1000
0,92,0,225,0,1000
0,709,6,997,3,90
0,131,0,198,0,365
0,126,1,224,1,90
0,286,7,502,28,180
0,208,0,458,0,365
57,153,0,269,0,1000
0,92,0,164,0,1000
0,79,0,146,0,1000
0,552,15,847,4,365
14,287,29,507,0,90
0,289,0,511,0,90
85,124,0,222,0,1000
0,745,0,1012,175,365
0,575,2,839,11,365
0,108,0,214,0,1000
0,133,0,235,0,1000
0,636,2,920,12,365
0,167,2,327,0,180
0,348,0,555,1,90
0,546,8,845,4,365
0,115,0,205,0,1000
0,122,3,260,2,365
0,537,0,808,2,365
0,159,25,307,12,180
0,493,3,809,3,180
0,400,0,564,20,180
0,505,0,825,3,90
0,361,0,597,1,1000
0,449,0,699,1,365
0,146,2,293,0,1000
