@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
658,482,1000
846,883,90
1439,879,365
494,420,365
1354,1013,180
1330,1097,180
0,523,90
898,881,1000
0,291,1000
1382,1060,365
781,817,1000
1042,871,90
1108,837,1000
1204,903,365
0,586,1000
1018,897,90
998,720,365
0,356,1000
1196,753,90
1034,962,1000
846,682,365
0,565,90
0,614,365
905,812,1000
686,513,90
1352,1109,1000
895,723,180
0,547,180
558,705,1000
857,1035,90
603,689,90
1014,896,90
1336,776,1000
0,498,1000
472,465,1000
1538,821,90
0,111,1000
1208,750,365
0,323,1000
1242,734,90
928,966,90
1441,908,1000
0,617,365
60,555,1000
0,631,365
0,148,1000
1002,900,90
689,744,90
1300,1116,1000
0,283,1000
1410,1088,1000
0,430,90
138,524,1000
492,412,1000
1068,984,365
0,369,180
594,571,1000
1142,752,1000
0,346,1000
0,559,180
783,795,90
909,809,1000
1044,743,1000
0,414,1000
1112,825,180
1098,722,1000
1347,920,1000
1068,912,180
693,763,90
1038,737,1000
1060,980,365
1135,860,180
810,664,365
690,653,365
1314,1083,365
1300,1080,30
1118,729,90
630,585,1000
0,601,180
1138,888,1000
1439,998,1000
0,565,180
1442,988,90
0,553,365
998,906,1000
564,719,1000
0,572,1000
1421,1053,365
1372,1029,1000
1188,923,90
771,815,90
760,822,90
278,548,1000
648,630,1000
846,885,90
600,563,365
1518,799,180
806,863,1000
1126,721,180
0,220,14
0,577,365
658,597,1000
1072,986,365
102,556,90
1350,1106,90
1510,1190,30
889,832,180
1390,1127,180
0,608,1000
898,729,365
946,722,365
765,814,1000
1427,883,180
842,680,180
0,373,1000
1350,833,1000
956,741,1000
164,536,1000
1388,808,1000
0,250,1000
0,639,90
868,677,180
1222,1035,1000
964,920,180
0,568,1000
0,274,1000
638,695,1000
897,784,180
614,661,1000
1266,978,90
1437,995,365
1072,927,1000
0,365,1000
574,592,1000
0,129,1000
570,691,1000
828,615,365
976,669,365
1064,981,30
0,644,365
808,833,180
1162,914,90
0,241,7
1072,987,365
0,352,1000
122,538,1000
0,236,1000
1322,762,365
0,288,1000
751,816,90
1160,768,90
0,360,90
0,404,90
880,701,1000
1170,917,90
852,615,1
869,686,180
0,566,180
892,871,1000
1134,942,180
962,683,365
0,612,365
774,582,365
1114,714,1000
0,547,1000
994,899,1000
1108,789,180
1140,744,90
1142,783,1000
1418,1000,90
0,586,365
0,326,1000
1072,738,1000
1110,914,180
