This file contains summary statistics (precision, recall, pf, f1, ROC) for the generated models.
Each section contains the ten (prec pd pf F1 ROC) stats calculated for each fold in 10-fold cross validation, with the dataset being cross-validated listed at the top of the section.

camelbefore14
prec  pd    pf    F1    ROC
0.897 0.977 0.756 0.935 0.75
0.913 0.981 0.729 0.946 0.759
0.912 0.982 0.725 0.946 0.779
0.918 0.977 0.691 0.947 0.79
0.916 0.974 0.689 0.944 0.791
0.916 0.976 0.691 0.945 0.797
0.922 0.979 0.687 0.949 0.801
0.921 0.979 0.68 0.949 0.808
0.923 0.979 0.677 0.95 0.807

nodebefore14
prec  pd    pf    F1    ROC
0.76 1 1 0.864 0.5
0.768 1 1 0.869 0.489
0.763 1 1 0.865 0.485
0.767 1 1 0.868 0.482
0.763 1 1 0.866 0.479
0.76 1 1 0.864 0.479
0.762 1 1 0.865 0.478
0.761 1 1 0.865 0.479
0.764 1 1 0.866 0.477
0.766 1 1 0.867 0.477

nodebefore1
prec  pd    pf    F1    ROC
0.584 0.328 0.151 0.42 0.658
0.568 0.342 0.177 0.427 0.636
0.56 0.33 0.169 0.415 0.634
0.557 0.326 0.165 0.411 0.63
0.565 0.31 0.154 0.4 0.631
0.565 0.293 0.144 0.386 0.627
0.554 0.293 0.152 0.383 0.624
0.552 0.299 0.155 0.388 0.627
0.547 0.298 0.159 0.386 0.623
0.546 0.304 0.163 0.391 0.625

nodebefore30
prec  pd    pf    F1    ROC
0.857 1 1 0.923 0.5
0.853 1 1 0.92 0.492
0.846 1 1 0.917 0.479
0.845 1 1 0.916 0.482
0.84 1 1 0.913 0.472
0.837 1 1 0.911 0.47
0.837 1 1 0.911 0.472
0.836 1 1 0.91 0.473
0.837 1 1 0.911 0.473
0.839 1 1 0.912 0.471

nodebefore7
prec  pd    pf    F1    ROC
0.679 0.944 0.88 0.79 0.543
0.681 0.972 0.938 0.801 0.526
0.681 0.962 0.922 0.797 0.543
0.686 0.951 0.902 0.797 0.56
0.687 0.943 0.883 0.795 0.567
0.687 0.943 0.884 0.795 0.572
0.692 0.942 0.878 0.798 0.572
0.695 0.94 0.866 0.799 0.574
0.698 0.937 0.86 0.8 0.579
0.699 0.939 0.866 0.801 0.581

nodebefore90
prec  pd    pf    F1    ROC
0.95 1 1 0.974 0.5
0.941 1 1 0.97 0.46
0.933 1 1 0.966 0.442
0.932 1 1 0.965 0.449
0.929 1 1 0.963 0.452
0.928 1 1 0.963 0.457
0.928 1 1 0.963 0.46
0.926 1 1 0.961 0.455
0.928 1 1 0.962 0.451
0.928 1 1 0.963 0.451

ofbizbefore14
prec  pd    pf    F1    ROC
